title;authors;year;publicationtitle;citationcount;doi;abstract;population;intervention;comparison;outcomes;context;checklater;include;testitem
"Meyerhoff H.S.; Jaggy O.; Papenmeier F.; Huff M.";0.0;Long-term memory representations for audio-visual scenes;2023;Memory and Cognition;10.3758/s13421-022-01355-6;In this study, we investigated the nature of long-term memory representations for naturalistic audio-visual scenes. Whereas previous research has shown that audio-visual scenes are recognized more accurately than their unimodal counterparts, it remains unclear whether this benefit stems from audio-visually integrated long-term memory representations or a summation of independent retrieval cues. We tested two predictions for audio-visually integrated memory representations. First, we used a modeling approach to test whether recognition performance for audio-visual scenes is more accurate than would be expected from independent retrieval cues. This analysis shows that audio-visual integration is not necessary to explain the benefit of audio-visual scenes relative to purely auditory or purely visual scenes. Second, we report a series of experiments investigating the occurrence of study-test congruency effects for unimodal and audio-visual scenes. Most importantly, visually encoded information was immune to additional auditory information presented during testing, whereas auditory encoded information was susceptible to additional visual information presented during testing. This renders a true integration of visual and auditory information in long-term memory representations unlikely. In sum, our results instead provide evidence for visual dominance in long-term memory. Whereas associative auditory information is capable of enhancing memory performance, the long-term memory representations appear to be primarily visual. © 2022, The Author(s).
"Moussa I.R.; Kassem R.R.; Edris N.A.; Khalil D.H.";0.0;Normal intraocular pressure in Egyptian children and meta-analysis;2022;Eye (Basingstoke);10.1038/s41433-021-01633-8;Objective: To determine the normal intraocular pressure in a sample of Egyptian children 0–12 years of age, and compare it to that recorded in previous studies. Methods: This is a prospective cross-sectional study, including 345 eyes. All children underwent complete history taking and ophthalmic examination. Any glaucomatous patients or glaucoma suspects were excluded. Intraocular pressure was measured using Haag Streit Perkins M2 handheld applanation tonometer under topical or general anaesthesia. Three readings were recorded for each eye and the average was calculated. Central corneal thickness was measured, using handheld pachymeter (Pachmate 2), whenever possible. Results: The study included 345 eyes of 187 children (101 males and 86 females), aged 2 months to 12 years (mean: 5.69 ± 3.42 years). The recorded IOP was 5–20 mm Hg (mean: 11.5 ± 2.34 mm Hg). Central corneal thickness was 469–742 μm (mean: 564.8 ± 42.72 μm). The mean recorded intraocular pressure showed positive correlation with increased age (p = 0.026) and increased central corneal thickness (p = 0.037), with a difference of 1 mm Hg for every 100-μm change in central corneal thickness. The mean IOP was significantly lower than that recorded by most previous studies. A detailed comparative analysis is presented comparing our findings with other studies including grouped analysis, by country, ethnicity and tonometers used. Conclusions: The mean IOP in a group of normal Egyptian children was 11.5 ± 2.34 mm Hg, with positive correlation to age and central corneal thickness. This mean intraocular pressure was lower than that previously reported in any other population. © 2021, The Author(s), under exclusive licence to The Royal College of Ophthalmologists.
"Hou X.; Zhang X.; Zhang Z.";0.0;Case Report: Asymmetric Changes of Ophthalmic Findings in Bilateral Solar Eclipse Maculopathy;2023;Optometry and Vision Science;10.1097/OPX.0000000000002012;SIGNIFICANCE A more profound understanding of the relationship between ophthalmic findings and eye dominance is needed to guide the timely and proper treatment of binocular photic maculopathy or other macular degeneration. PURPOSE A patient with binocular solar maculopathy presented with asymmetric ophthalmic manifestations and changes during 14 months of observation. Early recognition of solar maculopathy can be vital for early diagnosis and better prognosis. CASE REPORT A 21-year-old man was reported to have blurred vision after staring directly at an annular solar eclipse several times for a few seconds on June 21, 2020. His Snellen best-corrected visual acuity declined to 20/50 in both eyes. He was right-eye dominant according to the hole-in-the-card test. The funduscopy found a yellow spot in the center of both maculae. Spectral-domain optical coherence tomography images revealed a full-thickness hyperreflectivity extending from the inner retinal layers to the retinal pigment epithelium (RPE) along with a localized disruption of the ellipsoid portion of the inner segments and RPE in both eyes. The medical history and clinical manifestations described previously supported the diagnosis of solar maculopathy. Spectral-domain optical coherence tomography images during follow-up indicated a diminishing disruption of the ellipsoid portion of the inner segments and RPE without treatment. Interestingly, the nondominant left eye made a better anatomical recovery. Finally, the Snellen best-corrected visual acuity remained 20/20 in both eyes after 14 months. CONCLUSIONS Binocular solar maculopathy can present asymmetrically and recover asymmetrically as well. The dominant eye suffered more obvious damage and poorer anatomical recovery than the nondominant eye.  © Lippincott Williams & Wilkins.
"Feldmann L.; Zsigo C.; Mörtl I.; Bartling J.; Wachinger C.; Oort F.; Schulte-Körne G.; Greimel E.";0.0;Emotion regulation in adolescents with major depression – Evidence from a combined EEG and eye-tracking study;2023;Journal of Affective Disorders;10.1016/j.jad.2023.08.087;Background: Adolescent major depression (MD) is characterized by deficits in emotion regulation (ER). Little is known about the neurophysiological correlates that are associated with these deficits. Moreover, the additional examination of visual attention during ER would allow a more in-depth understanding of ER deficits but has not yet been applied simultaneously. Methods: N = 33 adolescents with MD and n = 35 healthy controls (HCs) aged 12–18 years performed an ER task during which they either a) down-regulated their negative affective response to negative images via cognitive reappraisal or b) attended the images without changing their affective response. During the task, the Late Positive Potential (LPP), gaze fixations on emotional image aspects, and self-reported affective responses were collected simultaneously. Results: Compared to HCs, adolescents with MD demonstrated reduced ER success based on self-report but did not differ in LPP amplitudes. Participants in both groups showed increased amplitudes in the middle LPP window when they reappraised negative pictures compared to when they attended them. Only in the HC group, increased LPP amplitudes during reappraisal were paralleled by more positive affective responses. Limitation: The applied stimuli were part of picture databases and might therefore have limited self-relevance. Conclusions: Increased LPP amplitude during ER in both groups might be specific to adolescence and might suggest that ER at this age is challenging and requires a high amount of cognitive resources. These findings provide an important starting point for future interventional studies in youth MD. © 2023 Elsevier B.V.
"Lancer H.; Drake-Lee A.";0.0;Laterality and otorhinolaryngology: A review;2023;Journal of Laryngology and Otology;10.1017/S0022215123001482;Objective: Laterality of paired organs involves the function of the eyes, ears, hands, and feet. Whilst most people have a right-handed preference, about 10% are left-handed. Similarly, the right eye is usually preferred to the left. Medicine is both taught and practiced for those with right hand and eye preference, and left-handed medicalstudents and doctorsmust negotiate the right-handed world. This brief review looks at society’s attitudes, medical training and the practice of otolaryngology in the United Kingdom (UK) towards laterality and handedness. Methods: Literature review. Results: Studies suggest that left-handers are more versatile and so are more ambidextrous. Conversely, this may result in problems when a right-hander tries to undertake a procedure with the non-dominant hand. Conclusions: Cultures and attitudes are changing towards those who are left-handed. Lefthanded surgeons may encounter difficultiesin the clinical environment throughout their training. © The Author(s), 2023.
"Su L.-P.; Yan H.; Zhang J.; Wang J.";0.0;"First - dose response of part - time versus full - time occlusion therapy for the treatment of amblyopia in children; [部分和全天遮盖治疗儿童单眼弱视首剂效应的疗效分析]";2022;International Eye Science;10.3980/j.issn.1672-5123.2022.10.31;"• AIM: To investigate the efficacy of the first follow - up visit after daily partial or full - day occlusion of the dominant eye in patients with unilateral amblyopia and assess the maximum efficacy produced by different amounts of occlusion. • METHODS: A retrospective clinical study was conducted on 135 cases of unilateral amblyopia cured in our hospital’s outpatient clinic from January 2020 to December 2021. They were divided into 2h/d occlusion group, 6h/d occlusion group and all-day occlusion group according to the duration of occlusion, with fine sight training of amblyopic eyes. The effect of the first dose (baseline visual acuity- first review visual acuity), cured visual acuity, stereo vision at the first review and cure time of amblyopic eyes were recorded. The factors affecting the first dose effect in patients with unilateral amblyopia were also analyzed. • RESULTS: All patients had a baseline visual acuity of 0.4 (0.22, 0.52), a first follow-up visual acuity of 0.22 (0.15, 0.3), a first-dose effect of 0.1 (0.08, 0.18), and a visual acuity of 0 (-0.08, 0.05) when amblyopia cured. The first-dose effects were 0.08 (0.07, 0.12) for patients in the 2h/d occlusion group, 0.18 (0.08, 0.3) for the 6h/d occlusion group, and 0.10 (0. 08, 0.18) for the all - day occlusion group. The most significant first-dose effect was the 6h/d occlusion group (P < 0. 05); Analysis of different influencing factors showed that the highest values of the first-dose effect of 6h/d occlusion were in the 3- 6 years group, 7 - 12 years group, female group, strabismic amblyopia group and mild to moderate group (P < 0.05); Furthermore, the first dose effect of the 6h/d occlusion was positively correlated with cure time of amblyopic eyes (rs = 0.334, P = 0.038). At the first follow - up, 21 cases (53.8%) had improved Titmus stereo visual acuity in the 6h/d occlusion group, which was higher than that in the 2h/d and all-day occlusion groups [16 cases (41.0%), 13 cases (22.8%), P<0.017]. •CONCLUSIONS: For monocular amblyopia, the first - dose effect of 6h/d occlusion treatment was the most significant, and the recovery of stereopsis was the best. © 2022 International Journal of Ophthalmology (c/o Editorial Office). All rights reserved."
"Chrobak A.A.; Rybakowski J.K.; Abramowicz M.; Perdziak M.; Gryncewicz W.; Dziuda S.; Fafrowicz M.; Czarnecki P.; Soltys Z.; Ceglarek A.; Ober J.K.; Marek T.; Dudek D.; Siwek M.";0.0;Vergence eye movements impairments in schizophrenia and bipolar disorder;2022;Journal of Psychiatric Research;10.1016/j.jpsychires.2022.10.042;One of the most evaluated eye tracking tasks in schizophrenia (SZ) and bipolar disorder (BD) are smooth pursuit eye movements. They rely on the maintenance of slowly moving object on the fovea. While most of the studies evaluated tracking of a target that moves in the fronto-parallel plane, only two assessed vergence eye movements (VEM), which relies on the pursuit of object that moves in depth. The aim of our study was to compare VEM performance in SZ and BD. We evaluated 28 SZ patients, 32 BD patients and 25 healthy controls (HC). Participants underwent thorough optometric examination before eye tracking task. VEM were measured with the use of infrared eye tracker and dedicated vergence stimuli generator. SZ patients showed higher mean break and recovery points of fusion and shorter correct tracking time than HC. BD individuals revealed tracking accuracy deficits and higher number of saccades than HC. Compared to BD, SZ patients showed decrease of maximal convergence and divergence. Moreover, they presented tracking accuracy deficits of non-dominant eye: altered eyes positioning error during convergence and divergence gain. Exploratory analysis revealed significant gender differences between groups in terms of binocular VEM parameters. In this study we have recognized pattern of eye movement disturbances differentiating abovementioned groups. SZ patients showed decreased vergence tracking range with shorter tracking time and impaired accuracy of non-dominant eye, while BD patients showed higher number of saccades with decreased tracking accuracy. Neuroimaging studies are necessary to identify neuronal underpinnings of VEM impairments in SZ and BD. © 2022 The Authors
Phaf R.H.;0.0;Merging and modifying hypotheses on the emotional and cognitive effects of eye movements: The dopaminergic regulation hypothesis;2023;New Ideas in Psychology;10.1016/j.newideapsych.2023.101026;The integration of hypotheses from Eye-Movement Desensitization and Reprocessing (EMDR) and Saccade Induced Retrieval Enhancement (SIRE), both of which have been met with considerable skepticism, may lead to significant gains in both domains. Cognitive accounts of EMDR, the orienting response (OR) and working memory (WM) hypotheses, and of SIRE, the interhemispheric interaction (IHI) and the top-down attentional control (TDAC) hypotheses, are discussed. The accounts show several blind spots and frictions, for instance, on re-imagining during EMs, on hemispheric lateralization, and on emotional influences of eye movements. The failure to consider these factors across and within domains may well explain the many disparate findings. This perspective aims to remove the artificial separation and seeks a theoretical integration of the domains. It combines elements of OR and TDAC into a new dopaminergic regulation hypothesis while replacing affective (i.e., positive vs. negative) by motivational mechanisms (i.e., fostering approach and recoding). EMs are posited to result in a short-latency, targeted release of dopamine, which is the central neuromodulator in approach tendencies. According to this hypothesis, the largest effects are obtained in individuals with collateralized eye dominance and dopamine dominance. Concrete suggestions are made to improve research conditions and therapeutic efficacy. © 2023
"Runswick O.R.; Mann D.L.; Mand S.; Fletcher A.; Allen P.M.";0.0;Laterality and performance: Are golfers learning to play backwards?;2022;Journal of Sports Sciences;10.1080/02640414.2021.1997011;When using a bimanual tool to strike an object, most people place their preferred hand closer to the striking end. In sports, a player is deemed to adopt a “right- or left-handed” stance depending on the hand that is lower on the club or bat. Research has suggested there is an advantage in going against this convention by placing the preferred hand at the top in a “reversed-stance”. This study aimed to establish if the reversed-stance advantage exists in golf, whether it is underpinned by the preferred hand or dominant eye, and why players adopt such a stance. We tested hand preference, eye dominance, and full swing stance in 150 golfers (30 for each handicap category) and conducted follow-up interviews with 12 reversed-stance players. Professional or category 1 golfers were 21.5 times more likely to adopt a reversed-stance. The advantage could not be explained by ambidexterity or the dominant eye but could be explained by the position of the preferred hand. Reversed-stance players cited a variety of reasons for adopting it and were more likely to display a left-hand preference. Findings offer initial evidence of a reversed-stance advantage in golf and can inform work identifying its origins and mechanisms. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.
"Choe E.; Kim M.-S.";0.0;Eye-specific attentional bias driven by selection history;2022;Psychonomic Bulletin and Review;10.3758/s13423-022-02121-0;Attention helps in selection among competing stimuli, but attentional selection also biases subsequent information processing as a prior experience. Previous studies have demonstrated that intertrial repetition of target features or locations facilitates perceptual processing as selection history guides attention. In the current study, we found that eye selection history in binocular rivalry induces eye-specific attentional bias. In four experiments, participants responded to the target presented at one of the locations on either eye. The results showed that the target was detected faster when presented to the same eye as in the previous trial under binocular rivalry. However, the effect of eye repetition was not observed when the interocular conflict was reduced by presenting stimuli to only one eye on each trial. Our result indicates that eye selection history can affect eye dominance during binocular rivalry as attention amplifies selected information among competing inputs. These findings suggest that prior experience of attentional deployment modulates subsequent information processing owing to the residual effect of attentional amplification. © 2022, The Psychonomic Society, Inc.
"Wu J.-H.; Lin C.-W.; Liu C.-H.; Weinreb R.N.; Welsbie D.S.";0.0;Superior segmental optic nerve hypoplasia: A review;2022;Survey of Ophthalmology;10.1016/j.survophthal.2022.02.008;"Superior segmental optic nerve hypoplasia (SSONH) is a congenital condition characterized by developmental abnormalities of the superior optic disc and an underappreciated differential diagnosis for glaucoma. The reported prevalence is less than 1%, although likely underestimated due to the difficulties with diagnosis. The exact pathophysiology of SSONH remains elusive, but a mechanism involving developmental attrition of retinal ganglion cells has been proposed, and maternal diabetes is recognized as a major risk factor. SSONH often is observed incidentally, and the patients typically are then evaluated for an acquired optic atrophy, often glaucoma because of the presence of inferior visual field defects. There are 4 characteristic signs of SSONH: superior entrance of the central retinal artery, superior disc pallor, superior peripapillary halo, and thinning of the superior peripapillary nerve fiber layer; however, the presence of these signs is variable. Optical coherence tomography can be helpful in distinguishing SSONH by demonstrating superonasal retinal nerve fiber layer thinning, as compared to the inferotemporal thinning seen in glaucoma, and an aberrant extension of retinal pigment epithelium over Bruch membrane. Overall, the prognosis of SSONH is favorable, with a non-progressive course. It is essential that ophthalmologists recognize and differentiate SSONH from glaucoma to avoid misdiagnosis and unnecessary treatment. © 2022 Elsevier Inc."
"Zhu W.; Tian T.; Yehezkel O.; Wygnanski-Jaffe T.; Moshkovitz A.; Lin J.; Hu C.; Liu R.";0.0;A Prospective Trial to Assess the Efficacy of Eye-Tracking-Based Binocular Treatment versus Patching for Children’s Amblyopia: A Pilot Study;2023;Seminars in Ophthalmology;10.1080/08820538.2023.2223275;"Purpose: To assess visual acuity (VA) and stereoacuity (SA) improvements in children with amblyopia treated with either binocular dichoptic treatment or patching treatment. Methods: In this pilot prospective coherent study, 34 participants between 4 and 9 years of age with unilateral anisometropic amblyopia and without history of prior amblyopia treatment were enrolled into three groups. Full treatment group (FTG; n = 12): participants were prescribed the binocular dichoptic treatment to watch for 90 minutes per day, 5 days a week. Part-time treatment group (PTTG; n = 8): participants were prescribed the same binocular treatment as FTG, 90 minutes per day, 3 days per week. Patching treatment group (PTG; n = 14): participants wore an adhesive patch over the dominant eye for 2 hours per day, 7 days per week. Amblyopic-eye distance visual acuity (DVA), near visual acuity (NVA) and SA were evaluated at baseline, 4, 8, and 12 weeks. Results: At 12 weeks, mean amblyopic-eye DVA improved 1.8 lines (95% CI, 1.1–2.5) in FTG, 1.5 lines (95% CI, 0.4–2.7) in PTTG and 3.0 lines (95% CI, 2.0–4.0) in PTG. The amblyopic-eye NVA improved 2.9 lines (95% CI, 2.4–3.5) in FTG, 1.7 lines (95% CI, 0.5–3.0) in PTTG and 2.8 lines (95% CI, 1.8–3.9) in PTG. The SA improved 0.38 log-arcseconds (95% CI, 0.24–0.53) in FTG, 0.59 log-arcseconds (95% CI, 0.36–0.82) in PTTG and 0.40 log-arcseconds (95% CI, 0.13–0.67) in PTG. No significant differences were found in DVA, NVA or SA improvement between FTG and PTG at 12 weeks. Conclusions: VA and SA after binocular dichoptic treatment produced a similar therapeutic outcome to patching, suggesting a potential value for binocular therapy when treating anisometropic moderate degree of Children’s amblyopia. © 2023 Taylor & Francis."
