title;authors;year;publicationtitle;citationcount;doi;abstract;population;intervention;comparison;outcomes;context;checklater;include
Detection of Dyslexic Children Using Machine Learning and Multimodal Hindi Language Eye-Gaze-Assisted Learning System;Yogesh Kumar Meena,Hubert Cecotti,Braj Bhushan,Ashish Dutta,Girijesh Prasad,;2023;IEEE Transactions on Human-Machine Systems;0;https://doi.org/10.1109/THMS.2022.3221848;Children with dyslexia need specific instructions for spelling and word analysis from an early age. It is important to provide appropriate tools using technology for writing aids to such children that can help them to input text, while providing multiple feedback. However, it is unclear how children with dyslexia can efficiently use a gaze-based virtual keyboard (VK). In this study, we propose to use the typing performance of a multimodal Hindi language eye-gaze-assisted learning system based on a VK to help in the reduction of tracking errors for people with writing and reading deficiencies and to detect children with dyslexia. Performance was assessed at three levels: eye tracker, eye tracker with soft switch, and touchscreen as a baseline modality using a predefined copy-typing task. The system was validated through a series of experiments with 32 children (16 dyslexic and 16 control). The results show that the workload and the usability of the system are substantially different for children with dyslexia. Children with dyslexia have a lower typing performance when using the touchscreen modality or the eye tracker only. The detection of children with dyslexia from others was assessed with seven different types of classifiers using the typing speed on different words (AUC $>$ 0.9). These results highlight the need to have fully inclusive VKs. This work demonstrates the superior use of a multimodal system with participants having unique neuropsychological conditions and that the proposed system can be used to detect children with dyslexia.;0;0;0;0;0;0;0
Driver State Modeling Through Latent Variable State Space Framework in the Wild;Arash Tavakoli,Steven Boker,Arsalan Heydarian,;2023;IEEE Transactions on Intelligent Transportation Systems;0;https://doi.org/10.1109/TITS.2022.3221858;Analyzing the impact of the environment on drivers’ stress level and workload is of high importance for designing human-centered driver-vehicle interaction systems and to ultimately help build a safer driving experience. However, driver’s state, including stress level and workload, are latent variables that cannot be measured on their own and should be estimated through sensor measurements such as psychophysiological measures. We propose using a latent-variable state-space modeling framework for driver state analysis. By using latent-variable state-space models, we model drivers’ workload and stress levels as latent variables estimated through multimodal human sensing data, under the perturbations of the environment in a state-space format and in a holistic manner. Through using a case study of multimodal driving data collected from 11 participants, we first estimate the latent stress level and workload of drivers from their heart rate, gaze measures, and intensity of facial action units. We then show that external contextual elements such as the number of vehicles as a proxy for traffic density and secondary task demands may be associated with changes in driver’s stress levels and workload. We also show that different drivers may be impacted differently by the aforementioned perturbations. We found out that drivers’ latent states at previous timesteps are highly associated with their current states. Additionally, we discuss the utility of state-space models in analyzing the possible lag between the two latent variables of stress level and workload, which might be indicative of information transmission between the different parts of the driver’s psychophysiology in the wild.;0;0;0;0;0;0;0
ECA Application Design: Augmented reality combined with eye-tracking technology based on Mobile device for myopia prevention;Tianshi Xie,Cheryl Seals,;2023;2023 IEEE International Conference on Consumer Electronics (ICCE);0;https://doi.org/10.1109/ICCE56470.2023.10043476;In daily life, with the popularity of mobile devices such as mobile phones and iPad, it is more and more common for children and adolescents to see myopia caused by long-term viewing of mobile device screens or failing to maintain a healthy visual distance. In response to this phenomenon and problem, we designed an intelligent eye care assistance system (ECA) based on mobile devices, which integrates web browsers and utilizes AR technology combined with depth camera technology. Compared with the current methods of controlling distance through ultrasonic sensors, infrared sensing devices, etc., the ECA system is more convenient to use and does not require any additional hardware equipment. The system implements the method of controlling the distance between the user and the mobile device screen through three steps: real-time eye tracking, distance measurement, and reminder for the user. And for the problem of users' long-term viewing of mobile device screens, we added a time reminder control function in the system design to better prevent myopia and protect users' eyesight. This paper proposes a common framework for an intelligent eye-protection ECA system to prevent various ophthalmic diseases [1] caused by short viewing distance watching mobile devices screens, including cataracts, glaucoma, retinal detachment, and myopic macular degeneration.;0;0;0;0;0;0;0
EHTask: Recognizing User Tasks From Eye and Head Movements in Immersive Virtual Reality;Zhiming Hu,Andreas Bulling,Sheng Li,Guoping Wang,;2023;IEEE Transactions on Visualization and Computer Graphics;1;https://doi.org/10.1109/TVCG.2021.3138902;Understanding human visual attention in immersive virtual reality (VR) is crucial for many important applications, including gaze prediction, gaze guidance, and gaze-contingent rendering. However, previous works on visual attention analysis typically only explored one specific VR task and paid less attention to the differences between different tasks. Moreover, existing task recognition methods typically focused on 2D viewing conditions and only explored the effectiveness of human eye movements. We first collect eye and head movements of 30 participants performing four tasks, i.e., Free viewing, Visual search, Saliency, and Track, in 15 360-degree VR videos. Using this dataset, we analyze the patterns of human eye and head movements and reveal significant differences across different tasks in terms of fixation duration, saccade amplitude, head rotation velocity, and eye-head coordination. We then propose EHTask – a novel learning-based method that employs eye and head movements to recognize user tasks in VR. We show that our method significantly outperforms the state-of-the-art methods derived from 2D viewing conditions both on our dataset (accuracy of $84.4\%$84.4% versus $62.8\%$62.8%) and on a real-world dataset ($61.9\%$61.9% versus $44.1\%$44.1%). As such, our work provides meaningful insights into human visual attention under different VR tasks and guides future work on recognizing user tasks in VR.;0;0;0;0;0;0;0
Estimation of Drivers’ Gaze Behavior by Potential Attention When Using Human–Machine Interface;Yu Yamaguchi,Yuki Okafuji,Takahiro Wada,Kazuomi Murakami,Hiroyuki Ishida,;2023;IEEE Access;0;https://doi.org/10.1109/ACCESS.2022.3192859;Recently, various visual information presentation systems known as human–machine interfaces (HMIs), such as road projection lamp systems, have been developed for safe driving. However, it is unclear how these HMIs change the drivers’ gaze behavior and improve their cognitive awareness of the environment. Therefore, in this study, we introduce the concept of potential attention to propose a probabilistic method to estimate drivers’ gaze behavior when using HMIs. The potential attention hypothesis can propose an explanation to understand gaze behavior. This method assigns potential attention to objects the driver is likely to gaze, such as vehicles and pedestrians, thereby estimating the driver’s potential gaze point from potential attentions. The study is divided into two steps. The first step analyzes the drivers’ gaze behavior in the simulator experiment when a road projection lamp is displayed to alert pedestrians. In the second step, we propose a method for estimating the driver’s gaze through the potential attention method based on the results of the simulator experiment. The modeling results for gaze behavior measured in the simulator experiment as the first step show that gaze behavior can be estimated with high accuracy. This proposed method is expected to apply to a method to determine where the HMI display should be placed.;0;0;0;0;0;0;0
Extended Control With Hybrid Gaze-BCI for Multi-Robot System Under Hands-Occupied Dual-Tasking;Hong Zeng,Yitao Shen,Dengfeng Sun,Xuhui Hu,Pengcheng Wen,Aiguo Song,;2023;IEEE Transactions on Neural Systems and Rehabilitation Engineering;0;https://doi.org/10.1109/TNSRE.2023.3234971;Currently there still remains a critical need of human involvements for multi-robot system (MRS) to successfully perform their missions in real-world applications, and the hand-controller has been commonly used for the operator to input MRS control commands. However, in more challenging scenarios involving concurrent MRS control and system monitoring tasks, where the operator’s both hands are busy, the hand-controller alone is inadequate for effective human-MRS interaction. To this end, our study takes a first step toward a multimodal interface by extending the hand-controller with a hands-free input based on gaze and brain-computer interface (BCI), i.e., a hybrid gaze-BCI. Specifically, the velocity control function is still designated to the hand-controller that excels at inputting continuous velocity commands for MRS, while the formation control function is realized with a more intuitive hybrid gaze-BCI, rather than with the hand-controller via a less natural mapping. In a dual-task experimental paradigm that simulated the hands-occupied manipulation condition in real-world applications, operators achieved improved performance for controlling simulated MRS (average formation inputting accuracy increases 3%, average finishing time decreases 5 s), reduced cognitive load (average reaction time for secondary task decreases 0.32 s) and perceived workload (average rating score decreases 15.84) with the hand-controller extended by the hybrid gaze-BCI, over those with the hand-controller alone. These findings reveal the potential of the hands-free hybrid gaze-BCI to extend the traditional manual MRS input devices for creating a more operator-friendly interface, in challenging hands-occupied dual-tasking scenarios.;0;0;0;0;0;0;0
Game-Based Social Interaction Platform for Cognitive Assessment of Autism Using Eye Tracking;Yi-Ling Chien,Chia-Hsin Lee,Yen-Nan Chiu,Wen-Che Tsai,Yuan-Che Min,Yang-Min Lin,Jui-Shen Wong,Yi-Li Tseng,;2023;IEEE Transactions on Neural Systems and Rehabilitation Engineering;0;https://doi.org/10.1109/TNSRE.2022.3232369;"The design goals of recently developed serious games are to improve attention, affective recognition, and social interactions among individuals with autism. However, most previous studies on serious games used behavioral questionnaires to evaluate their effectiveness. The cognitive assessment of individuals with autism after behavioral intervention or drug treatment has become important because it provides promising biomarkers to assess improvement after cognitive intervention. In this study, we developed a game-based social interaction platform incorporating an eye-tracking system for children and preadolescents with autism. Three modules (focusing on gaze following, facial emotion recognition, and social interaction skills) are included in the platform; participants with autism learn these according to their cognitive abilities. The eye-tracking results showed decreased fixation durations when autistic children looked at positive emotional expressions and focused on multiple targets. Prolonged saccade durations and shorter fixation times for social-related facial emotion expressions were also found in preadolescents and teenagers with autism. Our findings suggest that these atypical gaze patterns are reliable biomarkers for evaluating the social and cognitive functions of autistic individuals while playing serious games. The proposed platform’s game-based modules and the findings regarding aberrant gaze patterns in autistic individuals demonstrate the possibility of evaluating cognitive functions and intervention effectiveness by using eye-tracking signals in a serious game or real-life environment.";0;0;0;0;0;0;0
Gaze movement operability and sense of spatial presence assessment while operating a robot avatar;Kaoruko Shinkawa,Yoshihiro Nakata,;2023;2023 IEEE/SICE International Symposium on System Integration (SII);0;https://doi.org/10.1109/SII55687.2023.10039342;"The utilization of teleoperated robots has great potential for expanding the range of human social activities, and there has been much anticipation for this technology in recent years. To use teleoperated robots as human surrogates, it is essential to develop a teleoperation system that provides the operator with a high level of presence. Conventional robot avatars are generally operated by synchronizing the head with the operator. However, eye movements are essential for human gaze, and conventional operation (i.e., head movement synchronization only) may reduce perceived presence. In this study, we used a robot avatar that could move its head and eyeballs. We examined the effects of the synchronization of eye movements with the operator on the operability of the robot and the presence perceived by the operator. We conducted an experiment in which participants performed a task where they looked at an object under two conditions: head or head-eye synchronization between the participant and robot avatar. We investigated the effects of eye movement synchronization on task performance, spatial presence, and workload. The results showed that synchronization of eye movements improved operability and reduced workload; however, it did not improve presence. This study suggests that synchronization of eye movements may make the teleoperation of an avatar robot more comfortable and provides meaningful insights into research approaches for the improving presence of an avatar robot.";0;0;0;0;0;0;0
Improving Intention Detection in Single-Trial Classification Through Fusion of EEG and Eye-Tracker Data;Xianliang Ge,Yunxian Pan,Sujie Wang,Linze Qian,Jingjia Yuan,Jie Xu,Nitish Thakor,Yu Sun,;2023;IEEE Transactions on Human-Machine Systems;1;https://doi.org/10.1109/THMS.2022.3225633;Intention decoding is an indispensable procedure in hands-free human–computer interaction (HCI). A conventional eye-tracker system using a single-model fixation duration may issue commands that ignore users' real expectations. Here, an eye-brain hybrid brain–computer interface (BCI) interaction system was introduced for intention detection through the fusion of multimodal eye-tracker and event-related potential (ERP) [a measurement derived from electroencephalography (EEG)] features. Eye-tracking and EEG data were recorded from 64 healthy participants as they performed a 40-min customized free search task of a fixed target icon among 25 icons. The corresponding fixation duration of eye tracking and ERP were extracted. Five previously-validated linear discriminant analysis (LDA)-based classifiers [including regularized LDA, stepwise LDA, Bayesian LDA, shrinkage linear discriminant analysis (SKLDA), and spatial-temporal discriminant analysis] and the widely-used convolutional neural network (CNN) method were adopted to verify the efficacy of feature fusion from both offline and pseudo-online analysis, and the optimal approach was evaluated by modulating the training set and system response duration. Our study demonstrated that the input of multimodal eye tracking and ERP features achieved a superior performance of intention detection in the single-trial classification of active search tasks. Compared with the single-model ERP feature, this new strategy also induced congruent accuracy across classifiers. Moreover, in comparison with other classification methods, we found that SKLDA exhibited a superior performance when fusing features in offline tests (ACC = 0.8783, AUC = 0.9004) and online simulations with various sample amounts and duration lengths. In summary, this study revealed a novel and effective approach for intention classification using an eye-brain hybrid BCI and further supported the real-life application of hands-free HCI in a more precise and stable manner.;0;0;0;0;0;0;0
Improving Multi-Agent Trajectory Prediction Using Traffic States on Interactive Driving Scenarios;Chalavadi Vishnu,Vineel Abhinav,Debaditya Roy,C. Krishna Mohan,Ch. Sobhan Babu,;2023;IEEE Robotics and Automation Letters;0;https://doi.org/10.1109/LRA.2023.3258685;Predicting trajectories of multiple agents in interactive driving scenarios such as intersections, and roundabouts are challenging due to the high density of agents, varying speeds, and environmental obstacles. Existing approaches use relative distance and semantic maps of intersections to improve trajectory prediction. However, drivers base their driving decision on the overall traffic state of the intersection and the surrounding vehicles. So, we propose to use traffic states that denote changing spatio-temporal interaction between neighboring vehicles, to improve trajectory prediction. An example of a traffic state is a clump state which denotes that the vehicles are moving close to each other, i.e., congestion is forming. We develop three prediction models with different architectures, namely, Transformer-based (TS-Transformer), Generative Adversarial Network-based (TS-GAN), and Conditional Variational Autoencoder-based (TS-CVAE). We show that traffic state-based models consistently predict better future trajectories than the vanilla models. TS-Transformer produces state-of-the-art results on two challenging interactive trajectory prediction datasets, namely, Eye-on-Traffic (EOT), and INTERACTION. Our qualitative analysis shows that traffic state-based models have better aligned trajectories to the ground truth.;0;0;0;0;0;0;0
Leveling the Playing Field: A Comparative Reevaluation of Unmodified Eye Tracking as an Input and Interaction Modality for VR;Ajoy S. Fernandes,T. Scott Murdison,Michael J. Proulx,;2023;IEEE Transactions on Visualization and Computer Graphics;0;https://doi.org/10.1109/TVCG.2023.3247058;In this study, we establish a much-needed baseline for evaluating eye tracking interactions using an eye tracking enabled Meta Quest 2 VR headset with 30 participants. Each participant went through 1098 targets using multiple conditions representative of AR/VR targeting and selecting tasks, including both traditional standards and those more aligned with AR/VR interactions today. We use circular white world-locked targets, and an eye tracking system with sub-1-degree mean accuracy errors running at approximately 90Hz. In a targeting and button press selection task, we, by design, compare completely unadjusted, cursor-less, eye tracking with controller and head tracking, which both had cursors. Across all inputs, we presented targets in a configuration similar to the ISO 9241–9 reciprocal selection task and another format with targets more evenly distributed near the center. Targets were laid out either flat on a plane or tangent to a sphere and rotated toward the user. Even though we intended this to be a baseline study, we see unmodified eye tracking, without any form of a cursor, or feedback, outperformed the head by 27.9% and performed comparably to the controller (5.63% decrease) in throughput. Eye tracking had improved subjective ratings relative to head in Ease of Use, Adoption, and Fatigue (66.4%, 89.8%, and 116.1 % improvements, respectively) and had similar ratings relative to the controller (reduction by 4.2%, 8.9%, and 5.2% respectively). Eye tracking had a higher miss percentage than controller and head (17.3% vs 4.7% vs 7.2% respectively). Collectively, the results of this baseline study serve as a strong indicator that eye tracking, with even minor sensible interaction design modifications, has tremendous potential in reshaping interactions in next-generation AR/VR head mounted displays.;0;0;0;0;0;0;0
