;title;authors;year;publicationtitle;citationcount;doi;abstract;population;intervention;comparison;outcomes;context;checklater;include;other;backtracking
35;BoldMove: Enabling IoT Device Control on Ubiquitous Touch Interfaces by Semantic Mapping and Sequential Selection;Zhang, Tengxiang and Zeng, Xin and Zhang, Yinshuai and Jiang, Xin and Xu, Xuhai and Dey, Anind K and Chen, Yiqiang;2022;Extended Abstracts of the 2022 CHI Conference on Human Factors in Computing Systems;0;10.1145/3491101.3519805;Recent advances in ultra-low-power ubiquitous touch interfaces make touch inputs possible anytime, anywhere. However, their functions are usually pre-determined, i.e., one button is only associated with one fixed function. BoldMove enables spontaneous and efficient association of touch inputs and IoT device functions with semantic-based function filtering and a wait-confirm sequential selection strategy. In this way, such touch interfaces become ubiquitous IoT device controllers. We proposed the semantic-based IoT function filtering to improve control efficiency, then designed the sequential selection mechanism for interfaces with constrained input and output resources. We implemented BoldMove on a custom-built touch interface with capacitive button inputs and a smartwatch display. We then conducted a user study to determine the design parameters for the sequential selection method. At last, we validated that BoldMove only takes 3.25 seconds to complete a selection task if the target function appears within the Top-3 displayed item. Even if the assumption is relaxed to Top-10, BoldMove is still estimated to be more efficient than the conventional selection method with device-based filtering and menu-navigated selection.;0;0;0;0;0;0;1;0;0
41;Ubiquitous drums: a tangible, wearable musical interface;Smus, Boris and Gross, Mark D.;2010;CHI '10 Extended Abstracts on Human Factors in Computing Systems;0;10.1145/1753846.1754094;Drummers and non-drummers alike can often be seen making percussive gestures on their chests, knees and feet. Ubiquitous Drums enhances this experience by providing musical feedback for these and other gestures. This paper describes the implementation and evolution of this tangible, wearable musical instrument.;0;0;0;0;0;0;1;0;0
50;Augmented museum experience through Tangible Narrative;Ciotoli, Luca and Alinam, Morteza and Torre, Ilaria;2022;Proceedings of the 20th International Conference on Mobile and Ubiquitous Multimedia;0;10.1145/3490632.3497837;"This paper is about an interactive and tangible storytelling installation based on the principle of ubiquitous museum. The installation is designed to focus children’s attention on the sailing practice in the Medieval age by engaging children in an experience where they interact with several ancient navigation tools, equipped with sensors and communication capabilities. The networked infrastructure is combined with the approach of tangible narratives to augment the museum experience. We conducted a pilot study with three different groups of participants in order to investigate the interaction with the augmented ancient navigation tools. We used quantitative and qualitative data to get feedback on participants’ engagement while interacting with diegetic and non-diegetic objects and on factors that can impact engagement. Even though preliminary, the results can be useful to designers of ubiquitous museum installations to know possible risks and factors to take into account at design time. [disagreement; is it really an interactive object?]";0;0;0;0;0;0;1;0;0
57;Technology Individuation: The Foibles of Augmented Everyday Objects;Ambe, Aloha Hufana and Brereton, Margot and Soro, Alessandro and Roe, Paul;2017;Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems;0;10.1145/3025453.3025770;This paper presents the concept of technology individuation and explores its role in design. Individuation expresses how, over time, a technology becomes personal and intimate, unique in purpose, orchestrated in place, and how people eventually come to rely on it to sustain connection with others. We articulate this concept as a critical vantage point for designing augmented everyday objects and the Internet of Things. Individuation foregrounds aspects of habituation, routines and arrangements that through everyday practices reveal unique meaning, reflect self-identity and support agency.The concept is illustrated through three long term case studies of technology in use, involving tangible and embodied interaction with devices that afford communication, monitoring, and awareness in the home setting. The cases are analysed using Hornecker and Buur's Tangible Interaction Framework. We further extend upon this framework to better reveal the role played by personal values, history of use, and arrangements, as they develop over time in the home setting, in shaping tangible and embodied interaction with individuated technologies.;0;0;0;0;0;0;1;0;0
59;reMi: Translating Ambient Sounds of Moment into Tangible and Shareable Memories through Animated Paper;Choi, Kyung Yun and Shinsato, Darle and Zhang, Shane and Nakagaki, Ken and Ishii, Hiroshi;2018;Adjunct Proceedings of the 31st Annual ACM Symposium on User Interface Software and Technology;0;10.1145/3266037.3266109;"We present a tangible memory notebook--reMi--that records the ambient sounds and translates them into a tangible and shareable memory using animated paper. The paper replays the recorded sounds and deforms its shape to generate synchronized motions with the sounds. Computer-mediated communication interfaces have allowed us to share, record and recall memories easily through visual records. However, those digital visual-cues that are trapped behind the device's 2D screen are not the only means to recall a memory we experienced with more than the sense of vision. To develop a new way to store, recall and share a memory, we investigate how tangible motion of a paper that represents sound can enhance the ""reminiscence"". [disagreement; notebook vs device?]";0;0;0;0;0;0;1;0;0
64;Evaluating elementary student interaction with ubiquitous touch projection technology;Diesburg, Sarah M and Feldhaus, C. Adam and Oswald, Coved and Boudreau, Cole and Brown, Beau;2018;Proceedings of the 17th ACM Conference on Interaction Design and Children;0;10.1145/3202185.3202757;Ubiquitous touch projection technology is entering the market and allows touch screens to be projected onto any smooth surface at a lower cost. We created a mathematics manipulative application for a low-cost, ubiquitous touch projection system, and we conducted an observational study with 18 third-grade elementary students. Through our analysis of both video and system data, we identify common student interaction problems, evaluate how those interaction problems affect usability, engagement, and pair-work, and we make practical suggestions to aid future developers, educators, and students in using such a platform.;0;0;0;0;0;0;1;0;0
65;Tangible Globes for Data Visualisation in Augmented Reality;Satriadi, Kadek Ananta and Smiley, Jim and Ens, Barrett and Cordeil, Maxime and Czauderna, Tobias and Lee, Benjamin and Yang, Ying and Dwyer, Tim and Jenny, Bernhard;2022;Proceedings of the 2022 CHI Conference on Human Factors in Computing Systems;0;10.1145/3491102.3517715;"Head-mounted augmented reality (AR) displays allow for the seamless integration of virtual visualisation with contextual tangible references, such as physical (tangible) globes. We explore the design of immersive geospatial data visualisation with AR and tangible globes. We investigate the “tangible-virtual interplay” of tangible globes with virtual data visualisation, and propose a conceptual approach for designing immersive geospatial globes. We demonstrate a set of use cases, such as augmenting a tangible globe with virtual overlays, using a physical globe as a tangible input device for interacting with virtual globes and maps, and linking an augmented globe to an abstract data visualisation. We gathered qualitative feedback from experts about our use case visualisations, and compiled a summary of key takeaways as well as ideas for envisioned future improvements. The proposed design space, example visualisations and lessons learned aim to guide the design of tangible globes for data visualisation in AR. [disagremeent; stand? how complete / proxy]";0;0;0;0;0;0;1;0;0
67;Ubi Edge: Authoring Edge-Based Opportunistic Tangible User Interfaces in Augmented Reality;He, Fengming and Hu, Xiyun and Shi, Jingyu and Qian, Xun and Wang, Tianyi and Ramani, Karthik;2023;Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems;0;10.1145/3544548.3580704;Edges are one of the most ubiquitous geometric features of physical objects. They provide accurate haptic feedback and easy-to-track features for camera systems, making them an ideal basis for Tangible User Interfaces (TUI) in Augmented Reality (AR). We introduce Ubi Edge, an AR authoring tool that allows end-users to customize edges on daily objects as TUI inputs to control varied digital functions. We develop an integrated AR-device and an integrated vision-based detection pipeline that can track 3D edges and detect the touch interaction between fingers and edges. Leveraging the spatial-awareness of AR, users can simply select an edge by sliding fingers along it and then make the edge interactive by connecting it to various digital functions. We demonstrate four use cases including multi-function controllers, smart homes, games, and TUI-based tutorials. We also evaluated and proved our system’s usability through a two-session user study, where qualitative and quantitative results are positive.;0;0;0;0;0;0;1;0;0
71;Tangible Version Control: Exploring a Physical Object’s Alternative Versions;Letter, Maximilian and Wolf, Katrin;2022;Extended Abstracts of the 2022 CHI Conference on Human Factors in Computing Systems;0;10.1145/3491101.3519686;In iterative physical object creation, only the latest design state is manifested in the physical artifact, while information about previous versions are lost. This makes it challenging to keep track of changes and developments in iterative physical design. In this paper, we propose the concept of Tangible Version Control (TVC), inspired by the visualizations of traditional version control systems. In TVC, the real-world artifact itself is used for exploring its alternative versions in physical space, while comparisons to an alternative version are displayed seamlessly on the artifact with the use of augmented reality. Our implementation of TVC includes three different comparison modes, namely SideBySide, Overlay, and Differences. Furthermore, we discuss the anticipated use, opportunities, and challenges of using TVC in the future for individual users as well as for asynchronous collaborative work.;0;0;0;0;0;0;1;0;0
73;Digital Augmentation of Historical Objects Through Tangible Interaction;Not, Elena and Cavada, Dario and Maule, Stefano and Pisetti, Anna and Venturini, Adriano;2019;J. Comput. Cult. Herit.;0;10.1145/3297764;"The technological advances brought about by the Internet of Things enable new opportunities for a more direct interaction among users, objects, and places. This is an extremely valuable innovation for the cultural heritage sector, as it allows a more transparent use of technology in the digital augmentation of museums and cultural heritage sites. The possibility to augment physical objects with sensors detecting when they are moved and manipulated enables scenarios where descriptive information about objects is presented to users at the very exact time they are looking at them, stimulating engagement. This article describes a collaborative research effort among cultural heritage professionals, human--computer interaction experts, and developers that was aimed at investigating the goals and constraints curators consider for a physical encounter between visitors and historic relics. In a case study, we co-designed an interactive plinth centred on tangible interaction and evaluated the impact on the user experience of combining digital information with a hands-on experience of relics of World War I. Our findings show that visitors value this type of tangible interaction with collection objects positively, as it allows the discovery of details and the learning of aspects that normally go unnoticed. The synergy between physical and digital aspects stimulates empathy with the original users of the object and fosters social interaction. [disagreement; amouint of interaction]";0;0;0;0;0;0;1;0;0
74;Milky: on-product app for emotional product to human interactions;Deru, Matthieu and Bergweiler, Simon;2013;Proceedings of the 15th International Conference on Human-Computer Interaction with Mobile Devices and Services;0;10.1145/2493190.2494423;"In this paper we present a new way of emotional interaction with products. Based on the rapid prototyping Microsoft Gadgeteer platform, we concretized our vision of an on-product app by implementing an anthropomorphic intelligent milk carton. The purpose of this realization is to give customers a better view of a product's life-cycle. This realization also demonstrates that the frontier between pure mobile applications development and the creation of tangible objects is very thin and opens new way to integrate the Internet of Things over an anthropomorphic user interface, thus leading to a new product to human interaction form. [disagreement; same thing or addon; eo now or in the future]";0;0;0;0;0;0;1;0;0
78;Teachable Reality: Prototyping Tangible Augmented Reality with Everyday Objects by Leveraging Interactive Machine Teaching;Monteiro, Kyzyl and Vatsal, Ritik and Chulpongsatorn, Neil and Parnami, Aman and Suzuki, Ryo;2023;Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems;0;10.1145/3544548.3581449;This paper introduces Teachable Reality, an augmented reality (AR) prototyping tool for creating interactive tangible AR applications with arbitrary everyday objects. Teachable Reality leverages vision-based interactive machine teaching (e.g., Teachable Machine), which captures real-world interactions for AR prototyping. It identifies the user-defined tangible and gestural interactions using an on-demand computer vision model. Based on this, the user can easily create functional AR prototypes without programming, enabled by a trigger-action authoring interface. Therefore, our approach allows the flexibility, customizability, and generalizability of tangible AR applications that can address the limitation of current marker-based approaches. We explore the design space and demonstrate various AR prototypes, which include tangible and deformable interfaces, context-aware assistants, and body-driven AR applications. The results of our user study and expert interviews confirm that our approach can lower the barrier to creating functional AR prototypes while also allowing flexible and general-purpose prototyping experiences.;0;0;0;0;0;0;1;0;0
85;Implicit interaction with daily objects: applications and issues;Fujinami, Kaori;2009;Proceedings of the 3rd International Universal Communication Symposium;0;10.1145/1667780.1667813;This paper describes augmentation of daily objects as a mean to interact with a ubiquitous/pervasive computing environment. A daily object employs a context-aware capability, where a user's specific context is captured implicitly and naturally by sensors from its original usage because such an everyday object has inherent roles and functionalities. Also, information is presented naturally and effectively during the utilization. A user does not need to learn how to get information, which fills the gap between a user and a complex ubiquitous/pervasive computing environment.In this paper, some projects on augmenting daily objects are presented, where possible applications and a technique to complement a missing piece of context that is obtained only from an instrumental object are presented. Also, we propose to assure a sensor placement for reliable sensing by a daily object.;0;0;0;0;0;0;1;0;0
88;Augmented reality and tangible user interfaces integration for enhancing the user experience;Rodrigues, F\'{a}bio and Sato, Fernando and Botega, Leonardo and Oliveira, Allan;2012;Proceedings of the 11th ACM SIGGRAPH International Conference on Virtual-Reality Continuum and Its Applications in Industry;0;10.1145/2407516.2407536;The integration of post-wimp computer interfaces arises as an alternative to meet individual limitations of each one, considering both interaction components and feedbacks to users. Tangible interfaces can present restrictions referring to physical space on tabletop architectures, which limits the manipulation of objects and deprecates the interactive process. Hence, this paper proposes the integration of techniques of mobile Augmented Reality with tabletop tangible architecture for blending real and virtual components on its surface, aiming to make the interactive process richer, seamless and more complete.;0;0;0;0;0;0;1;0;0
93;"""...a load of ould boxology!""";Ferris, Kieran and Bannon, Liam;2002;Proceedings of the 4th Conference on Designing Interactive Systems: Processes, Practices, Methods, and Techniques;0;10.1145/778712.778722;"This paper documents the design process for an augmented children's play environment centred on that most ubiquitous and simple of objects, the cardboard box. The purpose of the exercise is to show how computer technology can be used in innovative ways to stimulate discovery, play and adventure among children. Our starting point was a dissatisfaction with current computer technology as it is presented to children, which, all to often in our view, focuses inappropriately on the computer per se as a fetishized object. Shifting the focus of attention from the Graphical User Interface (GUI) to familiar objects, and children's interactions around and through these augmented objects, results in the computer becoming a facilitator of exploration and learning. The paper documents the journey from initial design concept, through a number of prototype implementations, to the final implementation. Each design iteration was triggered by observation of use of the prototypes, and reflection on that use, and on new design possibilities. By augmenting an everyday artefact, namely the standard cardboard box, we have created a simple yet powerful interactive environment that, judging from the experience of our ""users"", has achieved its goal of stirring children's imagination.";0;0;0;0;0;0;1;0;0
94;Augmented tangible interface components and image based interactions;Kanev, Kamen;2012;Proceedings of the 13th International Conference on Computer Systems and Technologies;0;10.1145/2383276.2383280;"This work focuses on digital object and environmental enhancements through durable surface and undersurface encoding by printing and laser marking. While resulting augmented physical objects and environmental surfaces preserve their usual appearance, they become easily recognizable and tractable by optical means. Based on such encodings novel interaction mechanisms are being developed and concrete works on interior pattern design and physical interface component construction are presented along with their applications in the creation and employment of tangible interfaces and image-based interaction. [disagreement; is it really something]";0;0;0;0;0;0;1;0;0
96;BrickStARt: Enabling In-situ Design and Tangible Exploration for Personal Fabrication using Mixed Reality;Stemasov, Evgeny and Hohn, Jessica and Cordts, Maurice and Schikorr, Anja and Rukzio, Enrico and Gugenheimer, Jan;2023;Proc. ACM Hum.-Comput. Interact.;0;10.1145/3626465;"3D-printers enable end-users to design and fabricate unique physical artifacts but maintain an increased entry barrier and friction. End users must design tangible artifacts through intangible media away from the main problem space (ex-situ) and transfer spatial requirements to an abstract software environment. To allow users to evaluate dimensions, balance, or fit early and in-situ, we developed BrickStARt, a design tool using tangible construction blocks paired with a mixed-reality headset. Users assemble a physical block model at the envisioned location of the fabricated artifact.  
Designs can be tested tangibly, refined, and digitally post-processed, remaining continuously in-situ. We implemented BrickStARt using a Magic Leap headset and present walkthroughs, highlighting novel interactions for 3D-design. In a user study (n=16), first-time 3D-modelers succeeded more often using BrickStARt than Tinkercad. Our results suggest that BrickStARt provides an accessible and explorative process while facilitating quick, tangible design iterations that allow users to detect physics-related issues (e.g., clearance) early on.";0;0;0;0;0;0;1;0;0
104;Wizard of Props: Mixed Reality Prototyping with Physical Props to Design Responsive Environments;Zhang, Yuzhen and Han, Ruixiang and Zhou, Ran and Gyory, Peter and Zheng, Clement and Shih, Patrick C. and Do, Ellen Yi-Luen and Jung, Malte F and Ju, Wendy and Leithinger, Daniel;2024;Proceedings of the Eighteenth International Conference on Tangible, Embedded, and Embodied Interaction;0;10.1145/3623509.3633395;Driven by the vision of future responsive environments, where everyday surroundings can perceive human behaviors and respond through intelligent robotic actuation, we propose Wizard of Props (WoP): a human-centered design workflow for creating expressive, implicit, and meaningful interactions. This collaborative experience prototyping approach integrates full-scale physical props with Mixed Reality (MR) to support ideation, prototyping, and rapid testing of responsive environments. We present two design explorations that showcase our investigations of diverse design solutions based on varying technology resources, contextual considerations, and target audiences. Design Exploration One focuses on mixed environment building, where we observe fluid prototyping methods. In Design Exploration Two, we explore how novice designers approach WoP, and illustrate their design ideas and behaviors. Our findings reveal that WoP complements conventional design methods, enabling intuitive body-storming, supporting flexible prototyping fidelity, and fostering expressive environment-human interactions through in-situ improvisational performance.;0;0;0;0;0;0;1;0;0
105;Augmented Reality with Tangible Auto-Fabricated Models for Molecular Biology Applications;Gillet, Alexandre and Sanner, Michel and Stoffler, Daniel and Goodsell, David and Olson, Arthur;2004;Proceedings of the Conference on Visualization '04;0;10.1109/VISUAL.2004.7;"The evolving technology of computer auto-fabrication (""3-D printing"") now makes it possible to produce physical models for complex biological molecules and assemblies. We report on an application that demonstrates the use of auto-fabricated tangible models and augmented reality for research and education in molecular biology, and for enhancing the scientific environment for collaboration and exploration. We have adapted an augmented reality system to allows virtual 3-D representations (generated by the Python Molecular Viewer) to be overlaid onto a tangible molecular model. Users can easily change the overlaid information, switching between different representations of the molecule, displays of molecular properties such as electrostatics, or dynamic information. The physical model provides a powerful, intuitive interface for manipulating the computer models, streamlining the interface between human intent, the physical model, and the computational activity. [disagreement; works with any model or specific model?]";0;0;0;0;0;0;1;0;0
106;HeatGoggles: Enabling Ubiquitous Touch Input through Head-Mounted Devices using Thermal Imaging;Faltaous, Sarah and Wittpoth, Mark and Abdelrahman, Yomna and Schneegass, Stefan;2022;Proceedings of the 21st International Conference on Mobile and Ubiquitous Multimedia;0;10.1145/3568444.3570597;Displays are a ubiquitous part of our everyday life. Digital, as well as paper-based displays, are used on various occasions to present us with different information. While users cannot interact with many of these displays yet, they could benefit from making them interactive. Research shows that thermal cameras can be exploited to make surfaces interactive by sensing touchpoints based on the heat signature and residue. However, most of the research done uses a stationary setup. This work proposes HeatGoggles, a wearable gadget detecting touch input on arbitrary surfaces using thermal imaging. We report on its design, prototypical implementation, and first evaluation. We show that it can be used on non-touch-enabled displays as well as other traditional information displays.;0;0;0;0;0;0;1;0;0
119;Shiva's Rangoli: Tangible Storytelling through Diegetic Interfaces in Ambient Environments;Gupta, Saumya and Tanenbaum, Theresa Jean and Tanenbaum, Karen;2019;Proceedings of the Thirteenth International Conference on Tangible, Embedded, and Embodied Interaction;0;10.1145/3294109.3295635;This paper describes the underlying motivation, creation process, and evaluation outcomes of Shiva's Rangoli, a tangible storytelling installation that allows readers to impact the emotional tone of a narrative by sculpting the ambience of their space. Readers interact with a tangible interface that acts as a boundary object between the reader and the fictional world. We discuss how these kinds of interfaces can engage readers to feel like they are a part of the story, endow them with responsibility, and blur the line between real and fictional worlds.;0;0;0;0;0;0;1;0;0
127;Using physical objects to enable enriched video communication;Nyberg, Marcus and Norlin, Cristian and Gomez, Peter;2011;Proceedings of the 13th International Conference on Human Computer Interaction with Mobile Devices and Services;0;10.1145/2037373.2037454;"This paper describes an exploratory concept for how video communication can address the potential collaboration opportunities (and challenges) that arise with an emerging networked society in which the ""material"" to be used in the collaboration no longer is restrained to simple presentations, but can include services, Internet enabled objects, and many other types of systems and features. The concept illustrates how tangible objects can be utilized as props for the interaction and collaboration, and as access points to services, functionality and information. The findings from a qualitative user study suggest that this contributes to creating a form of collaboration in which technology is less visible and the actual meeting between humans becomes more significant. The user study also showed the importance of security and trust for such a system to work. [disagreement; speculative; id vs key]";0;0;0;0;0;0;1;0;0
129;An augmented workplace for enabling user-defined tangibles;Funk, Markus and Korn, Oliver and Schmidt, Albrecht;2014;CHI '14 Extended Abstracts on Human Factors in Computing Systems;0;10.1145/2559206.2581142;In this work, we introduce a novel setup for an augmented workplace, which allows for defining and interacting with user-defined tangibles. State-of-the-art tangible user interface systems equip both the underlying surface and the tangible control with sensors or markers. At the workplace, having one unique tangible for each available action results in confusion. Furthermore, tangible controls mix with regular objects and induce a messy desk. Therefore, we introduce the concept of user-defined tangibles, which enable a spontaneous binding between physical objects and digital functions. With user-defined tangibles the need for specially designed tangible controls disappears and each physical object on the augmented workplace can be turned into a tangible control. We introduce a prototypical system and outline an interaction concept.;0;0;0;0;0;0;1;0;0
